X,Y,Latitude,Longitude
159.2156191,-76.69009972,-76.69009972000,159.21561910000
159.20958826,-76.68711371,-76.68711371000,159.20958826000
159.2196731,-76.68440264,-76.68440264000,159.21967310000
159.22041227,-76.68400464,-76.68400464000,159.22041227000
159.221362809999988,-76.68247951,-76.68247951000,159.22136281000
159.22141613,-76.68189254,-76.68189254000,159.22141613000
159.222308090000013,-76.68099192,-76.68099192000,159.22230809000
159.22321771,-76.68054929,-76.68054929000,159.22321771000
159.22536372,-76.67995333,-76.67995333000,159.22536372000
0.0,0.0,0.00000000000,0.00000000000
0.0,0.0,0.00000000000,0.00000000000
159.2931,-76.711868,-76.71186800000,159.29310000000
159.2932,-76.71185692,-76.71185692000,159.29320000000
159.2951,-76.7116125,-76.71161250000,159.29510000000
159.2975,-76.71070272,-76.71070272000,159.29750000000
159.3012,-76.70972879,-76.70972879000,159.30120000000
159.305,-76.70875965,-76.70875965000,159.30500000000
159.3067,-76.70818619,-76.70818619000,159.30670000000
159.308,-76.70768384,-76.70768384000,159.30800000000
159.3095,-76.70705081,-76.70705081000,159.30950000000
159.3107,-76.70646771,-76.70646771000,159.31070000000
159.3121,-76.70586122,-76.70586122000,159.31210000000
159.3132,-76.70533568,-76.70533568000,159.31320000000
159.3147,-76.70473575,-76.70473575000,159.31470000000
159.3161,-76.70409477,-76.70409477000,159.31610000000
159.3166,-76.70372956,-76.70372956000,159.31660000000
159.3164,-76.70354608,-76.70354608000,159.31640000000
159.3158,-76.7032507,-76.70325070000,159.31580000000
159.3149,-76.70302801,-76.70302801000,159.31490000000
159.3124,-76.7026137,-76.70261370000,159.31240000000
159.3097,-76.70215872,-76.70215872000,159.30970000000
159.3097,-76.70215788,-76.70215788000,159.30970000000
159.3084,-76.70184094,-76.70184094000,159.30840000000
159.3037,-76.70093542,-76.70093542000,159.30370000000
159.2998,-76.70043011,-76.70043011000,159.29980000000
159.2962,-76.69999061,-76.69999061000,159.29620000000
159.2919,-76.69944005,-76.69944005000,159.29190000000
159.2861,-76.6988562,-76.69885620000,159.28610000000
159.2783,-76.6980945,-76.69809450000,159.27830000000
159.2744,-76.69776689,-76.69776689000,159.27440000000
159.2689,-76.69736941,-76.69736941000,159.26890000000
159.2661,-76.69723291,-76.69723291000,159.26610000000
159.263,-76.6967636,-76.69676360000,159.26300000000
159.259,-76.69646012,-76.69646012000,159.25900000000
159.2547,-76.69596895,-76.69596895000,159.25470000000
159.2515,-76.69577567,-76.69577567000,159.25150000000
159.2476,-76.69555355,-76.69555355000,159.24760000000
159.2397,-76.69529606,-76.69529606000,159.23970000000
159.2356,-76.69520245,-76.69520245000,159.23560000000
159.2397,-76.69524104,-76.69524104000,159.23970000000
159.2309,-76.69500139,-76.69500139000,159.23090000000
159.2273,-76.69479114,-76.69479114000,159.22730000000
159.2251,-76.69440487,-76.69440487000,159.22510000000
159.223,-76.6940364,-76.69403640000,159.22300000000
159.2203,-76.69325741,-76.69325741000,159.22030000000
159.2185,-76.69267916,-76.69267916000,159.21850000000
159.2164,-76.69199759,-76.69199759000,159.21640000000
159.2157,-76.69150824,-76.69150824000,159.21570000000
159.2157,-76.69100233,-76.69100233000,159.21570000000
159.2159,-76.69053412,-76.69053412000,159.21590000000
159.2155,-76.69008585,-76.69008585000,159.21550000000
0.0,0.0,0.00000000000,0.00000000000
159.2932,-76.71185692,-76.71185692000,159.29320000000
159.2931,-76.711868,-76.71186800000,159.29310000000
159.292,-76.71215048,-76.71215048000,159.29200000000
159.2914,-76.71236118,-76.71236118000,159.29140000000
159.2898,-76.71282533,-76.71282533000,159.28980000000
159.2864,-76.71378466,-76.71378466000,159.28640000000
159.2854,-76.71425683,-76.71425683000,159.28540000000
159.2849,-76.71459088,-76.71459088000,159.28490000000
159.2847,-76.71494994,-76.71494994000,159.28470000000
159.2849,-76.7152825,-76.71528250000,159.28490000000
159.2854,-76.71545783,-76.71545783000,159.28540000000
159.2861,-76.71560196,-76.71560196000,159.28610000000
159.2874,-76.71600804,-76.71600804000,159.28740000000
159.2887,-76.71626523,-76.71626523000,159.28870000000
159.2904,-76.71674373,-76.71674373000,159.29040000000
159.292,-76.71713424,-76.71713424000,159.29200000000
159.2931,-76.71757382,-76.71757382000,159.29310000000
159.2948,-76.7182016,-76.71820160000,159.29480000000
159.2964,-76.71903845,-76.71903845000,159.29640000000
159.2978,-76.7194431,-76.71944310000,159.29780000000
159.2978,-76.71944328,-76.71944328000,159.29780000000
159.3004,-76.71989089,-76.71989089000,159.30040000000
159.3032,-76.72010766,-76.72010766000,159.30320000000
159.306,-76.72010932,-76.72010932000,159.30600000000
159.31,-76.72009219,-76.72009219000,159.31000000000
159.3132,-76.72002421,-76.72002421000,159.31320000000
159.3198,-76.71973287,-76.71973287000,159.31980000000
159.3333,-76.71889523,-76.71889523000,159.33330000000
159.3401,-76.71850247,-76.71850247000,159.34010000000
159.3427,-76.7184452,-76.71844520000,159.34270000000
159.3453,-76.71846982,-76.71846982000,159.34530000000
159.3482,-76.71876605,-76.71876605000,159.34820000000
159.3501,-76.71903369,-76.71903369000,159.35010000000
159.3517,-76.71950139,-76.71950139000,159.35170000000
159.354,-76.72008107,-76.72008107000,159.35400000000
159.3556,-76.72074618,-76.72074618000,159.35560000000
159.356,-76.72127007,-76.72127007000,159.35600000000
159.3563,-76.72181912,-76.72181912000,159.35630000000
159.3525,-76.72405855,-76.72405855000,159.35250000000
159.3515,-76.72453268,-76.72453268000,159.35150000000
159.3501,-76.72527988,-76.72527988000,159.35010000000
159.3491,-76.72579245,-76.72579245000,159.34910000000
159.3455,-76.72690675,-76.72690675000,159.34550000000
159.3407,-76.72850109,-76.72850109000,159.34070000000
159.3383,-76.72879704,-76.72879704000,159.33830000000
159.3308,-76.73116319,-76.73116319000,159.33080000000
